#chemical potentials for the given thermodynamic conditions
#Cu2Zn1Sn1S2.5Se1.5
#axis: 	Zn	Sn	Se
Sn1S1	-0.0	-0.876	-0.495
Sn1S1	-0.743	-0.876	-0.0
Sn1S2	0.0	-0.984	-0.423
Sn1S2	-0.635	-0.984	-0.0
Sn2S3	0.0	-0.95	-0.446
Sn2S3	-0.669	-0.95	-0.0
Cu2Zn1Sn1Se4	-1.501	-0.0	-0.078
Cu2Zn1Sn1Se4	-0.0	-1.501	-0.078
Cu2Sn1Se3	-1.556	0.0	-0.042
Cu2Sn1Se3	-1.494	-0.125	-0.0
Sn1Se1	-0.108	-0.0	-1.007
Sn1Se1	-0.612	-1.007	-0.0
Sn1Se2	-0.999	-0.0	-0.414
Sn1Se2	-0.792	-0.827	-0.0
#Cu2Zn1Sn1S2Se2
#axis: 	Zn	Sn	Se
Sn1S1	0.0	-0.876	-0.378
Sn1S1	-0.756	-0.876	0.0
Sn1S2	0.0	-0.984	-0.324
Sn1S2	-0.648	-0.984	0.0
Sn2S3	-0.0	-0.95	-0.341
Sn2S3	-0.682	-0.95	0.0
Cu2Zn1Sn1Se4	-1.449	-0.0	-0.092
Cu2Zn1Sn1Se4	0.0	-1.449	-0.092
Cu2Sn1Se3	-1.549	0.0	-0.042
Cu2Sn1Se3	-1.507	-0.125	0.0
Zn1Se1	-1.61	0.0	-0.011
Zn1Se1	-1.621	-0.011	0.0
Sn1Se1	-0.0	-0.382	-0.625
Sn1Se1	-0.625	-1.007	0.0
Sn1Se2	-0.805	-0.0	-0.413
Sn1Se2	-0.805	-0.827	-0.0
#Cu2Zn1Sn1S1.5Se2.5
#axis: 	Zn	Sn	Se
Sn1S1	0.0	-0.876	-0.307
Sn1S1	-0.768	-0.876	-0.0
Sn1S2	0.0	-0.984	-0.264
Sn1S2	-0.66	-0.984	-0.0
Sn2S3	0.0	-0.95	-0.278
Sn2S3	-0.694	-0.95	0.0
Cu2Zn1Sn1Se4	-1.359	0.0	-0.114
Cu2Zn1Sn1Se4	0.0	-1.359	-0.114
Cu2Sn1Se3	-1.54	-0.0	-0.042
Cu2Sn1Se3	-1.519	-0.125	0.0
Zn1Se1	-1.606	-0.0	-0.015
Zn1Se1	-1.621	-0.023	-0.0
Sn1Se1	-0.0	-0.582	-0.425
Sn1Se1	-0.637	-1.007	0.0
Sn1Se2	-0.61	0.0	-0.414
Sn1Se2	-0.817	-0.827	-0.0
